run_key,method,representation,k,seed,eps,min_samples,linkage,seconds,inertia,n_clusters,noise_ratio,silhouette,purity,nmi,rand_index,clustered_points,valid_dbscan_score
Spherical K-Means | Sentence embedding | K=20 | seed=43,Spherical K-Means,Sentence embedding,20.0,43.0,,,,0.09486269950866699,500.49542236328125,20,0.0,0.041407105174432066,0.551,0.24295460396724,0.7959424712356178,,
K-Means | Sentence embedding | K=20 | seed=43,K-Means,Sentence embedding,20.0,43.0,,,,0.11782169342041016,874.9486083984375,20,0.0,0.023894116961667423,0.555,0.2415348808223806,0.7955142571285643,,
Spherical K-Means | Sentence embedding | K=15 | seed=42,Spherical K-Means,Sentence embedding,15.0,42.0,,,,0.14325904846191406,509.2685241699219,15,0.0,0.048527709126054586,0.535,0.2409407324257886,0.7891750875437719,,
Spherical K-Means | Sentence embedding | K=15 | seed=43,Spherical K-Means,Sentence embedding,15.0,43.0,,,,0.12476968765258789,509.4508056640625,15,0.0,0.04700636330173528,0.5395,0.2353548178512458,0.7897718859429715,,
K-Means | Sentence embedding | K=15 | seed=43,K-Means,Sentence embedding,15.0,43.0,,,,0.19868040084838867,888.6372680664062,15,0.0,0.024583686047821733,0.5385,0.23355732965321083,0.7901370685342671,,
K-Means | Sentence embedding | K=15 | seed=42,K-Means,Sentence embedding,15.0,42.0,,,,0.1439669132232666,890.2247314453125,15,0.0,0.025116840006511022,0.523,0.23329790510878318,0.7892261130565282,,
Spherical K-Means | Sentence embedding | K=20 | seed=42,Spherical K-Means,Sentence embedding,20.0,42.0,,,,0.0583643913269043,498.9865417480469,20,0.0,0.04783939505871172,0.5325,0.22666359887707568,0.7924022011005503,,
K-Means | Sentence embedding | K=20 | seed=42,K-Means,Sentence embedding,20.0,42.0,,,,0.1079256534576416,873.7227783203125,20,0.0,0.025386436700218,0.5235,0.2205792704468623,0.7919349674837419,,
Spherical K-Means | Sentence embedding | K=10 | seed=42,Spherical K-Means,Sentence embedding,10.0,42.0,,,,0.16597867012023926,522.576904296875,10,0.0,0.04423980595158579,0.494,0.21052415524549006,0.7714847423711856,,
K-Means | Sentence embedding | K=10 | seed=42,K-Means,Sentence embedding,10.0,42.0,,,,0.24853038787841797,907.41943359375,10,0.0,0.023558057880612455,0.488,0.20934825524874423,0.772447223611806,,
K-Means | Sentence embedding | K=7 | seed=42,K-Means,Sentence embedding,7.0,42.0,,,,0.2762565612792969,925.62255859375,7,0.0,0.022233209832555566,0.478,0.2084231454299382,0.749367683841921,,
Spherical K-Means | Sentence embedding | K=7 | seed=42,Spherical K-Means,Sentence embedding,7.0,42.0,,,,0.21091508865356445,534.614501953125,7,0.0,0.04173283260199626,0.4725,0.20311694163341748,0.74848024012006,,
Spherical K-Means | Sentence embedding | K=7 | seed=43,Spherical K-Means,Sentence embedding,7.0,43.0,,,,0.14720463752746582,534.8152465820312,7,0.0,0.04333038938300473,0.464,0.20265228454595183,0.7333296648324162,,
Spherical K-Means | Sentence embedding | K=10 | seed=43,Spherical K-Means,Sentence embedding,10.0,43.0,,,,0.10925531387329102,525.0735473632812,10,0.0,0.04040513661548102,0.5115,0.202305110084266,0.767975987993997,,
K-Means | Sentence embedding | K=7 | seed=43,K-Means,Sentence embedding,7.0,43.0,,,,0.11390352249145508,926.0253295898438,7,0.0,0.022477574331377828,0.4605,0.20135293007768598,0.7307063531765883,,
Spherical K-Means | Sentence embedding | K=5 | seed=43,Spherical K-Means,Sentence embedding,5.0,43.0,,,,0.1464366912841797,544.2102661132812,5,0.0,0.04424948363603773,0.471,0.20013511912540494,0.726328664332166,,
K-Means | Sentence embedding | K=10 | seed=43,K-Means,Sentence embedding,10.0,43.0,,,,0.16615748405456543,910.3046875,10,0.0,0.020006829171541257,0.5015,0.1984225038029038,0.7668559279639819,,
K-Means | Sentence embedding | K=5 | seed=43,K-Means,Sentence embedding,5.0,43.0,,,,0.17305827140808105,940.3223876953125,5,0.0,0.023120007423070323,0.4725,0.19815996874650682,0.7274742371185593,,
Spherical K-Means | Sentence embedding | K=5 | seed=42,Spherical K-Means,Sentence embedding,5.0,42.0,,,,0.22484064102172852,544.2561645507812,5,0.0,0.04575938905623494,0.4605,0.19002030671645453,0.7200845422711356,,
K-Means | Sentence embedding | K=5 | seed=42,K-Means,Sentence embedding,5.0,42.0,,,,0.29917287826538086,940.5035400390625,5,0.0,0.02365411970669938,0.457,0.18566469266106547,0.7180650325162581,,
HAC | Sentence embedding | linkage=complete | K=7,HAC,Sentence embedding,7.0,,,,complete,0.2586548328399658,,7,0.0,0.01862928751206596,0.364,0.10632700596301847,0.6830843373493976,,
DBSCAN | Sentence embedding | eps=0.35 | min_samples=5,DBSCAN,Sentence embedding,,,0.35,5.0,,0.0061113834381103516,,7,0.31125,-0.004290011723421398,0.32304900181488205,0.09210993808600981,0.2585975911565748,551.0,True
K-Means | TF-IDF | K=10 | seed=42,K-Means,TF-IDF,10.0,42.0,,,,1.675922155380249,1907.4097900390625,10,0.0,0.002278235688878099,0.363,0.08238381611079232,0.7171775887943972,,
K-Means | TF-IDF | K=10 | seed=43,K-Means,TF-IDF,10.0,43.0,,,,1.636303186416626,1908.490234375,10,0.0,0.004774016634871093,0.3725,0.07949806971382524,0.7182416208104052,,
Spherical K-Means | TF-IDF | K=10 | seed=42,Spherical K-Means,TF-IDF,10.0,42.0,,,,1.3129782676696777,1603.4705810546875,10,0.0,0.00674057225237702,0.3715,0.07935441811391329,0.7308344172086043,,
K-Means | TF-IDF | K=15 | seed=42,K-Means,TF-IDF,15.0,42.0,,,,2.514765739440918,1900.5953369140625,15,0.0,0.0030597408330917592,0.355,0.07868307985067197,0.7376648324162081,,
HAC | TF-IDF | linkage=complete | K=7,HAC,TF-IDF,7.0,,,,complete,0.3258483409881592,,7,0.0,0.004758308247847198,0.336,0.07849947658841358,0.5983293172690763,,
K-Means | TF-IDF | K=7 | seed=43,K-Means,TF-IDF,7.0,43.0,,,,2.3007264137268066,1914.5264892578125,7,0.0,0.00594880743820184,0.361,0.0774871046679797,0.6628534267133567,,
Spherical K-Means | TF-IDF | K=15 | seed=42,Spherical K-Means,TF-IDF,15.0,42.0,,,,0.7297077178955078,1582.47802734375,15,0.0,0.006950892068974119,0.3685,0.07418692917263724,0.7490560280140071,,
