cluster,size,top_true_genres,top_terms,representative_books,sample_titles
19,184,"Fantasy (88), Science Fiction (41), Classics (22), Mystery (13), Historical Fiction (13)","is, his, that, an, of the, with, by, he, as, on, this, it","Blind Willow, Sleeping Woman: 24 Stories | Skeleton Crew | Kafka on the Shore | Kafka on the Shore | Nightmares and Dreamscapes",Fahrenheit 451 | The House of the Scorpion | Something Wicked This Way Comes | Lord of the Flies | The Dante Club
9,183,"Classics (82), Historical Fiction (48), Young Adult (17), Science Fiction (12), Romance (9)","of the, american, is, novel, his, one, as, most, one of, an, with, story",Invisible Man | Adventures of Huckleberry Finn | Lord of the Flies | The Annotated Huckleberry Finn | Invisible Man,A Man Without A Country | Welcome to the Monkey House | Death of a Salesman (Arthur Miller): Text and Criticism | Our Man in Havana | The Great Gatsby
16,145,"Fantasy (137), Science Fiction (7), Romance (1)","lord, of the, ring, tolkien, dark, rings, he, the rings, his, evil, with, magic",The Return of the King | The Return of the King | The Fellowship of the Ring | Magician: Apprentice | Silver on the Tree,The Lord of the Rings | A Storm of Swords | The Shadow Rising | Lioness Rampant | The Lord of the Rings
8,137,"Classics (57), Fantasy (29), Mystery (28), Historical Fiction (15), Romance (4)","his, of the, with, as, is, by, on, he, an, london, this, most",Quicksilver | Oliver Twist | A Tale of Two Cities | Great Expectations | Treasure Island,Ivanhoe | Perfume: The Story of a Murderer | Robinson Crusoe | The Hound of the Baskervilles | The Devil and Miss Prym
7,131,"Romance (66), Fantasy (22), Mystery (14), Science Fiction (12), Historical Fiction (12)","her, she, is, love, that, his, he, from, has, but, for, in the",The Rescue | The Rescue | The Rescue | Atonement | Suzanne's Diary for Nicholas,Bridge to Terabithia | The Magician's Assistant | The Road | The Kite Runner | A Hunger Like No Other
15,129,"Classics (58), Fantasy (38), Historical Fiction (12), Romance (7), Science Fiction (5)","book, edition, text, this, translation, paperback, pages, is, by, new, of the, original","Leviathan | A Tale of Two Cities | The Scarlet Letter | Dante Alighieri's Divine Comedy, the Inferno | Paradise Lost","A Portrait of the Artist As a Young Man | Twenty Love Poems and a Song of Despair | The Christmas Books of Charles Dickens: A Christmas Carol,  Christmas Festivities, The Story of the Goblins Who Stole a Sexton, A Christmas Tree, The Seven Poor Travellers, The Haunted Man + A Christmas episode from Master Humphrey's Clock | Critique of Pure Reason | Moby Dick"
18,123,"Historical Fiction (47), Romance (25), Fantasy (23), Young Adult (11), Classics (11)","her, she, is, family, their, as, with, for, story, of the, who, an",The House of the Spirits | Secret Garden | The Secret Garden | The Secret Life Of Bees | The Joy Luck Club,The Color Purple | In the Time of the Butterflies | The Witching Hour | The Deep End of the Ocean | The Virgin Suicides
12,105,"Fantasy (31), Historical Fiction (29), Classics (20), Young Adult (11), Science Fiction (6)","he, his, is, on, for, in the, their, that, an, him, with, but",Hatchet | Perfume: The Story of a Murderer | The House of the Scorpion | The Power of One | The Power Of One,Heart of Darkness | Perfume: The Story of a Murderer | Dreamcatcher | Sophie's World | 'Salem's Lot
1,103,"Mystery (72), Fantasy (21), Science Fiction (6), Historical Fiction (2), Young Adult (2)","is, he, his, her, she, stephanie, but, has, agent, for, that, fbi",Absolute Power | Last Man Standing | Hour Game | Deception Point | Deception Point,Rainbow Six | Dirk Gently's Holistic Detective Agency | Do Androids Dream of Electric Sheep? | If Tomorrow Comes | Hour Game
2,94,"Classics (55), Romance (31), Young Adult (4), Historical Fiction (3), Fantasy (1)","her, anne, is, novel, austen, jane, she, of the, this, emma, for, as",Pride and Prejudice | Sense and Sensibility | Anne of Green Gables | Pride and Prejudice | The Jane Austen Book Club,Anne's House Of Dreams | Pride and Prejudice | Orlando | The Jane Austen Book Club | The Awakening
17,92,"Fantasy (54), Romance (14), Classics (13), Young Adult (6), Historical Fiction (5)","greek, of the, play, his, is, this, shakespeare, translation, with, as, great, plays",Antigone | The Odyssey | The Oresteia | Aeneid | The Epic of Gilgamesh,"The Iliad | Julius Caesar | King Lear | Lysistrata | I, Claudius"
13,91,"Fantasy (62), Classics (12), Science Fiction (8), Mystery (4), Young Adult (3)","children, is, by, their, his, rabbit, on, when, you, with, for, he",Where the Wild Things Are | The Phantom Tollbooth | Coraline | The Boy in the Striped Pyjamas | The Phantom Tollbooth,"Hand, Hand, Fingers, Thumb (Bright & Early Books | The Lion, the Witch and the Wardrobe | Cloudy With a Chance of Meatballs | Ella Minnow Pea: A Novel in Letters | Motherless Brooklyn"
0,82,"Fantasy (47), Science Fiction (32), Mystery (2), Classics (1)","earth, is, planet, time, are, that, space, dent, arthur dent, arthur, it, his","Ender's Game | Life, the Universe and Everything | Life, the Universe and Everything | The Restaurant at the End of the Universe | The Fall of Hyperion",The Rise of Endymion | The War of the Worlds | Xenocide | The Lost World | Children of Dune
10,78,"Mystery (74), Fantasy (3), Romance (1)","murder, poirot, her, is, she, hercule, hercule poirot, murdered, on, scarpetta, body, marple",Trace | Trace | Poirot Investigates | Unnatural Exposure | Cause of Death,Sleeping Murder | Cat Among the Pigeons | The Adventures of Sherlock Holmes | Murder on the Orient Express | From Potter's Field
14,71,"Classics (38), Romance (18), Mystery (11), Fantasy (3), Science Fiction (1)","her, she, is, his, for, lily, with, love, has, who, wharton, he",The House of Mirth | The House of Mirth | The House of Mirth | The House of Mirth | The House of Mirth,The Scarlet Letter | The Man in the Iron Mask | The Great Gatsby | El Cuaderno De Noah | Howards End
4,71,"Classics (52), Mystery (7), Historical Fiction (7), Fantasy (3), Science Fiction (1)","tolstoy, dostoevsky, russian, russia, his, karamazov, is, by, anna, brothers, ivan, he",The Brothers Karamazov | Crime and Punishment (Literary Touchstone Edition | The Brothers Karamazov | The Brothers Karamazov | Crime and Punishment (Norton Critical Editions,Thus Spoke Zarathustra | Crime and Punishment | Dead Souls | War and Peace | The Art of Loving
